taxa	nodule	root	21d_leaf
MtrunA17_Chr1g0146401	-3.32	-1.74	-1.74
MtrunA17_Chr1g0146411	-6.64	-1.74	0.38
MtrunA17_Chr1g0146421	6.86	0.00	-6.64
MtrunA17_Chr1g0146431	5.94	8.52	9.88
MtrunA17_Chr1g0146441	2.29	5.61	5.01
MtrunA17_Chr1g0146451	-0.32	4.58	4.25
MtrunA17_Chr1g0146461	4.03	5.56	6.06
MtrunA17_Chr1g0146471	8.32	8.90	9.07
MtrunA17_Chr1g0146481	3.64	8.38	11.30
MtrunA17_Chr1g0146491	6.78	11.72	12.05
MtrunA17_Chr1g0146501	5.37	9.53	9.96
MtrunA17_Chr1g0146511	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146521	-0.51	-6.64	-6.64
MtrunA17_Chr1g0146531	5.14	7.44	8.08
MtrunA17_Chr1g0146541	-1.74	-6.64	-0.51
MtrunA17_Chr1g0146551	6.10	8.66	9.12
MtrunA17_Chr1g0146561	7.10	8.55	8.52
MtrunA17_Chr1g0146571	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146581	4.00	7.82	10.77
MtrunA17_Chr1g0146591	6.26	5.22	8.36
MtrunA17_Chr1g0146601	-0.32	-6.64	-6.64
MtrunA17_Chr1g0146611	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146621	-1.32	-6.64	-6.64
MtrunA17_Chr1g0146631	-6.64	-1.74	-1.32
MtrunA17_Chr1g0146641	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146651	-1.32	-6.64	-6.64
MtrunA17_Chr1g0146661	6.25	10.02	11.01
MtrunA17_Chr1g0146671	2.38	3.50	6.23
MtrunA17_Chr1g0146681	3.28	5.51	7.00
MtrunA17_Chr1g0146691	5.94	7.62	7.13
MtrunA17_Chr1g0146701	5.64	8.32	7.82
MtrunA17_Chr1g0146711	1.63	-1.74	-0.51
MtrunA17_Chr1g0146721	5.50	8.24	8.93
MtrunA17_Chr1g0146731	5.13	4.71	-1.74
MtrunA17_Chr1g0146741	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146751	-0.32	2.70	4.15
MtrunA17_Chr1g0146761	0.14	3.79	5.57
MtrunA17_Chr1g0146771	4.72	8.92	10.08
MtrunA17_Chr1g0146781	6.93	8.06	8.46
MtrunA17_Chr1g0146791	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146801	6.53	8.87	8.27
MtrunA17_Chr1g0146811	6.59	8.45	9.31
MtrunA17_Chr1g0146821	-3.32	4.87	6.46
MtrunA17_Chr1g0146831	-1.00	4.41	1.58
MtrunA17_Chr1g0146832	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146841	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146851	-6.64	1.89	-6.64
MtrunA17_Chr1g0146861	3.43	9.47	12.24
MtrunA17_Chr1g0146871	-3.32	6.97	9.53
MtrunA17_Chr1g0146881	5.86	8.82	10.39
MtrunA17_Chr1g0146891	-6.64	7.09	-6.64
MtrunA17_Chr1g0146901	7.75	8.52	8.10
MtrunA17_Chr1g0146911	2.94	9.20	3.12
MtrunA17_Chr1g0146921	5.42	8.53	10.25
MtrunA17_Chr1g0146931	4.19	9.24	7.58
MtrunA17_Chr1g0146941	-3.32	-6.64	-0.51
MtrunA17_Chr1g0146951	-6.64	-6.64	0.00
MtrunA17_Chr1g0146961	-6.64	-6.64	0.77
MtrunA17_Chr1g0146971	-6.64	-6.64	-0.51
MtrunA17_Chr1g0146981	-6.64	-6.64	0.38
MtrunA17_Chr1g0146991	-3.32	-6.64	3.05
MtrunA17_Chr1g0147001	-2.32	-6.64	-6.64
MtrunA17_Chr1g0147011	5.38	1.72	5.06
MtrunA17_Chr1g0147021	6.93	9.35	9.42
MtrunA17_Chr1g0147031	-3.32	-6.64	-6.64
MtrunA17_Chr1g0147041	7.64	10.10	10.28
MtrunA17_Chr1g0147051	5.43	10.92	9.03
MtrunA17_Chr1g0147061	-1.32	-0.51	-6.64
MtrunA17_Chr1g0147071	1.38	9.23	7.29
MtrunA17_Chr1g0147081	-1.00	2.10	1.89
MtrunA17_Chr1g0147091	-6.64	-1.74	-6.64
MtrunA17_Chr1g0147101	9.30	10.55	10.98
MtrunA17_Chr1g0147111	8.21	10.38	10.96
MtrunA17_Chr1g0147121	5.79	9.09	10.44
