taxa	flg22	elf18	nlp20	og	chitin
AT3G06560	0.00	0.01	0.00	0.00	0.00
AT2G01275	0.41	0.45	0.12	0.41	-0.01
AT1G28455	0.00	0.00	0.00	0.00	0.00
AT1G02965	0.00	0.00	0.00	0.00	0.00
AT5G62400	0.00	0.00	0.00	0.00	0.00
AT1G64035	0.00	0.00	0.00	0.00	0.00
AT3G04280	0.00	0.00	0.00	0.00	0.00
AT5G39430	0.00	0.00	0.00	0.00	0.00
AT1G18980	0.78	0.33	0.78	0.20	0.54
AT1G05560	2.41	0.63	1.92	2.41	1.40
AT3G25260	0.01	0.00	-0.01	0.01	-0.01
AT2G42470	0.00	0.00	0.00	0.00	0.00
AT5G46540	0.08	0.08	0.07	0.05	0.08
AT2G02520	0.00	0.00	0.00	0.00	0.00
AT3G50720	0.00	0.00	0.00	0.00	0.00
AT1G24590	0.00	0.01	0.00	0.00	0.00
AT5G35830	0.00	0.00	0.00	0.00	0.00
AT5G38670	0.00	0.00	0.00	0.00	0.00
AT1G50690	0.00	0.00	0.00	0.00	0.00
AT2G03300	0.00	0.00	0.00	0.00	0.00
AT2G23640	0.00	0.00	0.00	0.00	0.00
AT5G36460	0.00	0.00	0.00	0.00	0.00
AT3G47150	0.00	0.00	0.00	0.00	0.00
AT4G03590	0.00	0.00	0.00	0.00	0.00
AT2G44320	0.00	0.00	0.00	0.00	0.00
AT3G57310	0.00	0.00	0.00	0.00	0.00
AT3G52810	0.00	0.00	0.00	0.00	0.00
AT3G17720	0.00	0.00	0.00	0.00	0.00
AT3G20555	0.00	0.00	0.00	0.00	0.00
AT3G29570	0.00	0.00	0.00	0.00	0.00
AT5G58180	0.00	0.00	0.00	0.00	0.00
AT4G26675	0.00	0.00	0.00	0.00	0.00
AT3G05741	0.00	0.00	0.00	0.00	0.00
AT5G25340	0.70	0.59	0.57	0.62	0.70
AT1G65642	0.00	0.00	0.00	0.00	0.00
AT5G37170	0.00	0.00	0.00	0.00	0.00
AT1G23810	0.01	0.00	0.00	0.00	0.00
AT5G55880	0.00	0.00	0.00	0.00	0.00
AT5G55890	0.00	0.00	0.00	0.00	0.00
AT3G23770	0.00	0.00	0.00	0.00	0.00
AT5G15620	0.00	0.01	0.00	0.00	0.00
AT5G13600	0.25	0.17	0.25	0.04	0.21
AT3G09375	0.01	0.01	0.01	0.00	0.01
AT4G35690	0.00	0.00	0.00	0.00	0.00
AT4G12860	0.00	0.00	0.00	0.00	0.00
AT5G11280	0.10	0.23	0.10	0.07	0.09
AT4G38370	0.23	0.19	0.23	0.07	0.01
AT5G02920	0.03	0.00	0.03	0.03	0.02
AT1G31860	0.31	0.23	0.05	0.25	0.31
AT3G52020	0.00	0.00	0.00	0.00	0.00
AT1G78470	0.00	0.00	0.00	0.00	0.00
AT1G27570	0.00	0.00	0.00	0.00	0.00
AT5G55430	0.00	0.00	0.00	0.00	0.00
AT5G02385	0.00	0.00	0.00	0.00	0.00
AT5G07420	0.00	0.00	0.00	0.00	0.00
AT5G28210	0.00	0.00	0.00	0.00	0.00
AT2G21990	0.00	0.00	0.00	0.00	0.00
AT5G25000	0.00	0.00	0.00	0.00	0.00
AT5G16020	0.01	0.01	0.00	0.01	0.01
AT1G23400	0.06	-0.07	0.06	0.03	-0.19
AT1G76810	0.25	0.04	0.21	0.18	0.25
AT3G61830	0.28	0.38	0.11	0.12	0.28
AT3G22510	0.00	0.00	0.00	0.00	0.00
AT3G50808	0.00	0.00	0.00	0.00	0.00
AT5G33406	0.00	0.00	0.00	0.00	0.00
AT5G39895	0.00	0.00	0.00	0.00	0.00
AT5G41320	0.91	0.47	0.91	0.50	0.38
AT2G26490	0.00	0.00	0.00	0.00	0.00
AT4G26040	0.01	0.00	0.00	0.00	0.00
AT5G28680	0.00	0.00	0.00	0.00	0.00
AT3G44780	0.00	0.00	0.00	0.00	0.00
AT5G46877	0.00	0.00	0.00	0.00	0.00
AT5G36730	0.00	0.00	0.00	0.00	0.00
AT5G36820	0.00	0.00	0.00	0.00	0.00
AT3G25160	0.00	0.00	0.00	0.00	0.00
AT3G10240	0.00	0.00	0.00	0.00	0.00
AT3G32280	0.00	0.00	0.00	0.00	0.00
AT2G01050	0.00	0.00	0.00	0.00	0.00
AT1G25330	0.00	0.00	0.00	0.00	0.00
AT2G03930	0.00	0.00	0.00	0.00	0.00
AT1G10880	0.01	0.00	0.00	0.00	0.01
AT1G02790	0.00	0.00	0.00	0.00	0.00
AT1G48590	0.00	0.00	0.00	0.00	0.00
AT2G30105	0.35	0.18	0.10	0.26	0.34
AT1G02020	0.11	-0.04	0.10	-0.09	0.11
AT1G35340	0.21	0.09	0.12	0.21	0.04
AT4G04980	0.01	0.01	0.00	0.00	0.00
AT1G60983	0.00	0.00	0.00	0.00	0.00
AT2G45161	0.00	0.00	0.00	0.00	0.00
AT2G19390	0.38	0.30	0.38	0.08	-0.08
AT4G39150	0.10	0.05	0.06	0.10	0.01
AT2G32040	0.44	0.32	0.28	0.44	0.23
AT1G62170	0.01	0.01	0.00	0.00	0.01
AT5G22990	0.00	0.00	0.00	0.00	0.00
AT2G37730	0.00	0.00	0.00	0.00	0.00
AT4G32910	0.10	0.11	0.04	0.04	0.10
AT2G28725	0.00	0.00	0.00	0.00	0.00
AT1G68960	0.00	0.00	0.00	0.00	0.00
AT1G65365	0.00	0.00	0.00	0.00	0.00
AT4G06608	0.00	0.00	0.00	0.00	0.00
AT2G28030	0.00	0.00	0.00	0.00	0.00
AT3G25810	0.00	0.00	0.00	0.00	0.00
AT5G48200	0.00	0.00	0.00	0.00	0.00
AT3G61910	0.00	0.00	0.00	0.00	0.00
AT1G47730	0.00	0.00	0.00	0.00	0.00
AT1G43760	0.00	0.00	0.00	0.00	0.00
AT4G08876	0.00	0.00	0.00	0.00	0.00
AT4G23120	0.00	0.00	0.00	0.00	0.00
AT5G66890	0.03	0.01	0.03	0.01	0.00
AT4G08395	0.00	0.00	0.00	0.00	0.00
AT1G51970	0.00	0.00	0.00	0.00	0.00
AT3G29560	0.00	0.00	0.00	0.00	0.00
AT1G23074	0.00	0.00	0.00	0.00	0.00
AT1G79130	0.00	0.00	-0.01	0.00	0.00
AT1G60280	0.00	0.00	0.00	0.00	0.00
AT3G10195	0.00	0.00	0.00	0.00	0.00
AT2G10608	0.00	0.00	0.00	0.00	0.00
AT5G57885	0.00	0.00	0.00	0.00	0.00
AT3G47440	0.00	0.00	0.00	0.00	0.00
AT5G67265	0.00	0.01	0.00	0.00	0.00
AT2G42870	0.54	0.01	0.02	0.54	-0.07
AT1G77000	0.43	0.33	0.43	0.34	0.03
AT3G07620	0.00	0.00	0.00	0.00	0.00
AT1G34500	0.00	0.00	0.00	0.00	0.00
AT3G09510	0.00	0.00	0.00	0.00	0.00
AT1G78160	0.00	0.00	0.00	0.00	0.00
AT5G02340	0.00	0.00	0.00	0.00	0.00
AT3G61500	0.00	0.00	0.00	0.00	0.00
AT2G19290	0.00	0.00	0.00	0.00	0.00
AT2G03520	0.02	0.01	-0.01	0.02	0.00
AT2G16080	0.00	0.00	0.00	0.00	0.00
AT1G30470	0.15	0.13	0.15	0.12	-0.01
AT4G11911	0.00	0.00	0.00	0.00	0.00
AT1G47770	0.00	0.00	0.00	0.00	0.00
AT5G19729	0.00	0.00	0.00	0.00	0.00
AT3G28080	0.19	-0.05	0.04	0.19	0.01
AT1G61566	0.00	0.00	0.00	0.00	0.00
AT3G01070	0.29	0.58	0.29	0.20	0.20
AT3G21930	0.00	0.00	0.00	0.00	0.00
AT3G49770	0.00	0.00	0.00	0.00	0.00
AT4G26920	0.00	0.00	0.00	0.00	0.00
AT3G14515	0.00	0.00	0.00	0.00	0.00
AT5G28470	0.00	0.00	0.00	0.00	0.00
AT5G40220	0.00	0.00	0.00	0.00	0.00
AT3G11480	0.00	0.00	0.00	0.00	0.00
AT4G19038	0.00	0.00	0.00	0.00	0.00
AT1G61940	0.00	0.00	0.00	0.00	0.00
AT2G18070	0.00	0.00	0.00	0.00	0.00
AT1G22940	0.13	0.02	0.11	0.13	0.01
AT1G45242	0.00	0.00	0.00	0.00	0.00
AT5G51840	0.21	0.19	0.03	0.08	0.20
AT2G26120	0.00	0.00	0.00	0.00	0.00
AT1G45403	0.00	0.00	0.00	0.00	0.00
AT1G37140	0.01	0.00	0.00	0.01	0.01
AT4G36350	0.00	0.01	0.00	0.00	0.00
AT1G35242	0.00	0.00	0.00	0.00	0.00
AT4G37860	0.01	0.00	0.00	0.00	0.00
AT5G56440	0.00	0.00	0.00	0.00	0.00
AT4G21630	0.00	0.00	0.00	0.00	0.00
AT1G02952	0.00	0.00	0.00	0.00	0.00
AT5G02000	0.00	0.00	0.00	0.00	0.00
AT3G09915	0.00	0.00	0.00	0.00	0.00
AT4G13262	0.00	0.00	0.00	0.00	0.00
AT1G75530	0.00	0.00	0.00	0.00	0.00
AT5G37270	0.00	0.00	0.00	0.00	0.00
AT1G10680	0.69	0.35	0.69	-0.45	-0.08
AT4G11490	0.00	0.00	0.00	0.00	0.00
AT2G03030	0.00	0.00	0.00	0.00	0.00
AT3G45670	0.00	0.00	0.00	0.00	0.00
AT1G66120	0.00	0.00	0.00	0.00	0.00
AT2G27940	0.00	0.00	0.00	0.00	0.00
AT2G17950	0.00	0.00	0.00	0.00	0.00
AT2G16810	0.00	0.00	0.00	0.00	0.00
AT5G35615	0.00	0.00	0.00	0.00	0.00
AT4G27640	0.06	-0.03	0.06	-0.18	0.00
AT4G05540	0.00	0.00	0.00	0.00	0.00
AT1G54550	0.00	0.00	0.00	0.00	0.00
AT3G26813	0.00	0.00	0.00	0.00	0.00
AT1G05615	0.00	0.00	0.00	0.00	0.00
AT3G27140	0.00	0.00	0.00	0.00	0.00
AT3G08560	0.09	0.18	0.03	0.09	0.08
AT2G23800	0.00	0.00	0.00	0.00	0.00
AT2G33950	0.00	0.00	0.00	0.00	0.00
AT3G30280	0.00	0.00	0.00	0.00	0.00
AT5G61460	0.25	0.09	0.11	0.25	0.23
AT3G22490	0.00	0.00	0.00	0.00	0.00
AT1G06265	0.29	-0.07	0.04	0.29	0.08
AT4G01890	0.01	0.00	0.00	0.00	0.00
AT2G31770	0.01	0.00	0.00	0.01	0.00
AT1G21480	0.18	0.13	0.17	0.06	0.15
AT4G20410	0.23	0.11	0.05	0.23	0.10
AT1G80990	0.00	0.00	0.00	0.00	0.00
AT2G47310	0.07	0.00	0.05	0.07	0.01
AT2G03740	0.01	0.01	0.00	0.00	0.00
AT4G22650	0.01	0.00	0.00	0.01	0.00
AT5G28390	0.20	0.55	0.20	0.15	-0.02
AT3G49500	-0.05	-0.08	-0.05	-0.21	-0.06
AT4G03040	0.00	0.00	0.00	0.00	0.00
AT5G66340	0.14	0.13	0.08	0.14	0.03
AT1G62900	0.22	0.32	0.22	-0.13	0.02
AT2G07000	0.00	0.00	0.00	0.00	0.00
AT1G48980	0.01	0.00	0.01	0.00	0.00
AT4G18180	0.00	0.01	0.00	0.00	0.00
AT4G07675	0.01	0.01	0.00	0.01	0.01
AT4G18090	0.00	0.00	0.00	0.00	0.00
AT3G15605	0.01	0.00	0.00	0.00	0.00
AT2G20921	0.01	0.01	0.00	0.00	0.00
AT2G35180	0.00	0.00	0.00	0.00	0.00
AT5G53680	0.01	0.01	0.00	0.00	0.00
AT3G26295	0.00	0.00	0.00	0.00	0.00
AT2G26770	0.23	0.13	0.10	0.23	0.21
AT1G50610	0.00	0.00	0.00	0.00	0.00
AT5G40050	0.00	0.00	0.00	0.00	0.00
AT4G23370	0.00	0.00	0.00	0.00	0.00
AT4G32420	0.02	-0.12	0.02	-0.02	-0.04
AT1G52325	0.00	0.00	0.00	0.00	0.00
AT1G21323	0.01	0.01	0.01	0.01	0.00
AT5G04045	0.00	0.00	0.00	0.00	0.00
AT1G55221	0.01	0.01	0.01	0.00	0.00
AT1G28375	0.01	0.00	0.01	0.00	0.00
AT1G13607	0.00	0.00	0.00	0.00	0.00
AT2G26455	0.00	0.00	0.00	0.00	0.00
AT2G40250	0.01	0.00	0.00	0.00	0.00
AT2G31720	0.00	0.00	0.00	0.00	0.00
AT5G66260	0.00	0.01	0.00	0.00	0.00
AT3G55677	0.01	0.00	0.01	0.00	0.00
AT5G46240	0.48	0.44	0.46	0.48	0.35
AT4G26820	0.00	0.00	0.00	0.00	0.00
AT5G41840	0.01	0.00	0.00	0.00	0.00
AT3G52660	0.10	0.06	0.09	0.03	0.10
AT2G34740	0.00	0.00	0.00	0.00	0.00
AT2G32275	0.00	0.00	0.00	0.00	0.00
AT1G11620	0.01	0.01	0.01	0.01	0.00
AT5G67120	0.00	0.00	0.00	0.00	0.00
AT1G51490	0.00	0.00	0.00	0.00	0.00
AT1G61540	0.00	0.00	0.00	0.00	0.00
AT3G44717	0.01	0.01	0.00	0.00	0.00
AT5G58820	0.00	0.00	0.00	0.00	0.00
AT1G25270	0.00	0.00	0.00	0.00	0.00
AT5G07410	0.00	0.00	0.00	0.00	0.00
AT5G45113	0.00	0.00	0.00	0.00	0.00
AT2G34630	0.65	0.43	0.65	0.38	0.37
AT1G67770	0.01	0.00	0.00	0.00	0.00
AT5G56570	0.00	0.01	0.00	0.00	0.00
AT2G03445	0.01	0.00	0.01	0.00	0.00
AT4G33860	0.01	0.00	0.00	0.00	0.00
AT2G33670	0.00	0.00	0.00	0.00	0.00
AT5G03204	0.00	0.00	0.00	0.00	0.00
AT2G14635	0.00	0.00	0.00	0.00	0.00
AT3G13855	0.00	0.00	0.00	0.00	0.00
AT1G32670	0.00	0.00	0.00	0.00	0.00
AT1G05800	0.01	0.00	0.00	0.00	0.00
AT2G17860	0.00	0.00	0.00	0.00	0.00
AT3G48346	0.00	0.00	0.00	0.00	0.00
AT2G31780	0.00	0.00	0.00	0.00	0.00
AT3G57072	0.00	0.00	0.00	0.00	0.00
AT1G44318	0.01	0.00	0.00	0.00	0.01
AT4G31660	0.00	0.00	0.00	0.00	0.00
AT2G24510	0.00	0.01	0.00	0.00	0.00
AT1G20290	0.00	0.00	0.00	0.00	0.00
AT5G66970	0.00	0.00	0.00	0.00	0.00
AT1G60987	0.00	0.00	0.00	0.00	0.00
AT3G46666	0.01	0.00	0.00	0.01	0.00
AT3G58290	0.00	0.00	0.00	0.00	0.00
AT1G62750	0.07	-0.13	0.07	-0.17	-0.12
AT4G16550	0.01	0.00	0.00	0.01	0.00
AT5G11820	0.01	0.00	0.00	0.00	0.00
AT1G16760	0.00	0.00	0.00	0.00	0.00
AT2G19320	0.00	0.00	0.00	0.00	0.00
AT3G05610	0.00	0.00	0.00	0.00	0.00
AT3G32410	0.02	0.02	0.00	0.02	0.02
AT1G42570	0.00	0.00	0.00	0.00	0.00
AT1G43080	0.00	0.00	0.00	0.00	0.00
AT1G22080	0.00	0.00	0.00	0.00	0.00
AT2G42410	0.00	0.00	0.00	0.00	0.00
AT3G12900	0.01	0.00	0.00	0.00	0.00
AT1G64255	0.00	0.00	0.00	0.00	0.00
AT5G22260	0.00	0.00	0.00	0.00	0.00
AT2G28220	0.01	0.00	0.00	0.00	0.00
AT5G55135	0.00	0.00	0.00	0.00	0.00
AT5G19470	0.00	0.00	0.00	0.00	0.00
AT5G55240	0.00	0.00	0.00	0.00	0.00
AT3G28810	0.00	0.00	0.00	0.00	0.00
AT3G42830	0.00	0.00	0.00	0.00	0.00
AT4G10740	0.01	0.00	0.00	0.00	0.00
AT4G20370	0.00	0.00	0.00	0.00	0.00
AT4G02300	0.00	0.00	0.00	0.00	0.00
AT4G09584	0.00	0.00	0.00	0.00	0.00
AT1G47780	0.00	0.00	0.00	0.00	0.00
AT2G23440	0.03	-0.06	0.03	0.01	0.03
AT4G05495	0.00	0.00	0.00	0.00	0.00
AT5G50040	0.00	0.00	0.00	0.00	0.00
AT1G63206	0.00	0.00	0.00	0.00	0.00
AT3G53611	0.00	0.00	0.00	0.00	0.00
AT3G45580	0.01	0.00	0.00	0.00	0.00
AT5G15480	0.00	0.01	0.00	0.00	0.00
AT5G44640	0.00	0.00	0.00	0.00	0.00
AT1G01305	0.00	0.00	0.00	0.00	0.00
AT5G66370	0.00	0.00	0.00	0.00	0.00
AT2G23900	0.00	0.00	0.00	0.00	0.00
AT1G45223	0.00	0.00	0.00	0.00	0.00
AT3G21590	0.00	0.00	0.00	0.00	0.00
AT5G38270	0.00	0.00	0.00	0.00	0.00
AT5G36240	0.00	0.00	0.00	0.00	0.00
AT2G47280	0.00	0.00	0.00	0.00	0.00
AT3G46660	0.01	0.00	0.00	0.00	0.00
AT4G38401	0.00	0.00	0.00	0.00	0.00
AT5G52415	0.00	0.00	0.00	0.00	0.00
AT5G39470	0.00	0.00	0.00	0.00	0.00
AT5G01860	0.00	0.00	0.00	0.00	0.00
AT5G56770	0.00	0.00	0.00	0.00	0.00
AT2G30240	0.00	0.00	0.00	0.00	0.00
AT5G52140	0.01	0.00	0.00	0.00	0.00
AT1G13890	0.00	0.00	0.00	0.00	0.00
AT4G18920	0.00	0.00	0.00	0.00	0.00
AT4G29090	0.00	0.00	0.00	0.00	0.00
AT3G15935	0.00	0.00	0.00	0.00	0.00
AT5G40070	0.00	0.00	0.00	0.00	0.00
AT3G28820	0.00	0.00	0.00	0.00	0.00
AT4G09740	0.00	0.00	0.00	0.00	0.00
AT5G10420	0.00	0.00	0.00	0.00	0.00
AT1G03720	0.00	0.00	0.00	0.00	0.00
AT1G30925	0.00	0.00	0.00	0.00	0.00
AT3G50730	0.00	0.00	0.00	0.00	0.00
AT2G15260	0.00	0.00	0.00	0.00	0.00
AT2G13463	0.00	0.00	0.00	0.00	0.00
AT3G16550	0.00	0.00	0.00	0.00	0.00
AT5G56690	0.00	0.00	0.00	0.00	0.00
AT1G35537	0.01	0.01	0.00	0.01	0.00
AT1G65640	0.00	0.00	0.00	0.00	0.00
AT5G48140	0.00	0.00	0.00	0.00	0.00
AT1G66310	0.00	0.00	0.00	0.00	0.00
AT3G29431	0.00	0.00	0.00	0.00	0.00
AT1G75790	0.00	0.00	0.00	0.00	0.00
AT5G51420	0.07	0.05	0.04	0.07	0.05
AT5G48205	0.00	0.00	0.00	0.00	0.00
AT4G09143	0.00	0.00	0.00	0.00	0.00
AT2G41360	0.00	0.00	0.00	0.00	0.00
AT1G23640	0.00	0.00	0.00	0.00	0.00
AT1G35980	0.00	0.00	0.00	0.00	0.00
AT1G31080	0.00	0.00	0.00	0.00	0.00
AT4G03630	0.00	0.00	0.00	0.00	0.00
AT4G34332	0.00	0.00	0.00	0.00	0.00
AT1G43781	0.00	0.00	0.00	0.00	0.00
AT4G20810	0.00	0.00	0.00	0.00	0.00
AT3G55590	0.00	0.00	0.00	0.00	0.00
AT4G17512	0.00	0.00	0.00	0.00	0.00
AT5G43840	0.00	0.00	0.00	0.00	0.00
AT4G10290	0.00	0.00	0.00	0.00	0.00
AT5G54350	0.00	0.00	0.00	0.00	0.00
AT2G16340	0.00	0.00	0.00	0.00	0.00
AT1G30473	0.00	0.00	0.00	0.00	0.00
AT3G29380	0.00	0.00	0.00	0.00	0.00
AT1G26400	0.01	0.00	0.00	0.00	0.00
AT5G52480	0.00	0.00	0.00	0.00	0.00
AT5G44850	0.00	0.00	0.00	0.00	0.00
AT3G58260	0.00	0.00	0.00	0.00	0.00
AT5G36310	0.00	0.00	0.00	0.00	0.00
AT5G36340	0.00	0.00	0.00	0.00	0.00
AT3G20750	0.00	0.00	0.00	0.00	0.00
AT4G29285	0.00	0.00	0.00	0.00	0.00
AT1G66710	0.00	0.00	0.00	0.00	0.00
AT2G11005	0.00	0.00	0.00	0.00	0.00
AT4G32110	0.00	0.00	0.00	0.00	0.00
AT2G29820	0.00	0.00	0.00	0.00	0.00
AT2G12900	0.00	0.00	0.00	0.00	0.00
AT2G05360	0.00	0.00	0.00	0.00	0.00
AT4G15053	0.00	0.00	0.00	0.00	0.00
AT3G22720	0.00	0.00	0.00	0.00	0.00
AT4G01328	0.00	0.00	0.00	0.00	0.00
AT1G49770	0.00	0.00	0.00	0.00	0.00
AT3G28870	0.00	0.00	0.00	0.00	0.00
AT2G33655	0.00	0.00	0.00	0.00	0.00
AT4G36170	0.00	0.00	0.00	0.00	0.00
AT2G14410	0.00	0.00	0.00	0.00	0.00
AT5G27090	0.00	0.00	0.00	0.00	0.00
AT3G48057	0.00	0.00	0.00	0.00	0.00
AT1G05136	0.00	0.00	0.00	0.00	0.00
AT3G21170	0.00	0.00	0.00	0.00	0.00
AT3G20705	0.00	0.00	0.00	0.00	0.00
AT3G51700	0.00	0.00	0.00	0.00	0.00
AT3G55252	0.00	0.00	0.00	0.00	0.00
AT2G01800	0.00	0.00	0.00	0.00	0.00
AT1G43330	0.00	0.00	0.00	0.00	0.00
AT3G04170	0.00	0.00	0.00	0.00	0.00
AT1G48800	0.00	0.00	0.00	0.00	0.00
AT1G77992	0.00	0.00	0.00	0.00	0.00
AT2G02660	0.00	0.00	0.00	0.00	0.00
AT2G22050	0.00	0.00	0.00	0.00	0.00
AT4G09600	0.01	0.00	0.00	0.00	0.00
AT5G46980	0.00	0.00	0.00	0.00	0.00
AT5G09711	0.01	0.00	0.00	0.00	0.00
AT2G44780	0.01	0.00	0.01	0.00	0.00
AT1G56233	0.00	0.00	0.00	0.00	0.00
AT2G05720	0.00	0.00	0.00	0.00	0.00
AT3G29260	0.00	0.00	0.00	0.00	0.00
AT1G72460	0.00	0.00	0.00	0.00	0.00
AT5G63720	0.00	0.00	0.00	0.00	0.00
AT1G59500	0.00	0.00	0.00	0.00	0.00
AT4G16451	0.00	0.00	0.00	0.00	0.00
AT2G32905	0.00	0.00	0.00	0.00	0.00
AT3G55190	0.00	0.00	0.00	0.00	0.00
AT5G05657	0.00	0.00	0.00	0.00	0.00
AT5G45890	0.00	0.00	0.00	0.00	0.00
AT1G03100	0.18	-0.09	0.11	-0.03	0.18
AT5G30500	0.00	0.00	0.00	0.00	0.00
AT1G34795	0.00	0.00	0.00	0.00	0.00
AT1G34830	0.00	0.00	0.00	0.00	0.00
AT5G19610	0.00	0.00	0.00	0.00	0.00
AT5G27606	0.00	0.00	0.00	0.00	0.00
AT3G58910	0.00	0.00	0.00	0.00	0.00
AT1G50990	0.00	0.00	0.00	0.00	0.00
AT1G76290	0.00	0.00	0.00	0.00	0.00
AT2G31760	0.00	0.00	0.00	0.00	0.00
AT1G51290	0.00	0.00	0.00	0.00	0.00
AT2G02890	0.01	0.00	0.00	0.00	0.00
AT5G28527	0.00	0.01	0.00	0.00	0.00
AT1G32480	0.00	0.00	0.00	0.00	0.00
AT4G13285	0.00	0.00	0.00	0.00	0.00
AT3G42047	0.00	0.00	0.00	0.00	0.00
AT2G20805	0.00	0.00	0.00	0.00	0.00
AT3G12850	0.00	0.00	0.00	0.00	0.00
AT5G06125	0.00	0.00	0.00	0.00	0.00
AT3G59180	0.00	0.00	0.00	0.00	0.00
AT4G20220	0.00	0.00	0.00	0.00	0.00
AT1G05930	0.00	0.00	0.00	0.00	0.00
AT2G13116	0.00	0.00	0.00	0.00	0.00
AT5G35510	0.01	0.00	0.00	0.00	0.00
AT5G32072	0.00	0.00	0.00	0.00	0.00
AT4G09987	0.00	0.00	0.00	0.00	0.00
AT3G49450	0.00	0.00	0.00	0.00	0.00
AT5G24560	0.00	0.00	0.00	0.00	0.00
AT4G06748	0.01	0.00	0.00	0.00	0.00
AT1G73900	0.00	0.00	0.00	0.00	0.00
AT3G17060	0.00	0.00	0.00	0.00	0.00
AT1G28327	0.00	0.00	0.00	0.00	0.00
AT1G22100	0.00	0.00	0.00	0.00	0.00
AT3G60020	0.00	0.00	0.00	0.00	0.00
AT4G03360	0.01	0.01	0.00	0.01	0.00
AT5G53520	0.00	0.00	0.00	0.00	0.00
AT1G62060	0.00	0.00	0.00	0.00	0.00
AT5G38580	0.00	0.00	0.00	0.00	0.00
AT5G64210	0.00	0.01	0.00	0.00	0.00
AT1G53550	0.01	0.00	0.01	0.01	0.00
AT4G17210	0.00	0.00	0.00	0.00	0.00
AT1G32430	0.00	0.00	0.00	0.00	0.00
AT3G44380	0.28	0.03	-0.09	0.24	0.28
AT2G33370	0.30	0.17	0.10	0.16	0.30
AT1G80580	0.01	0.00	0.00	0.00	0.00
AT1G69660	0.02	0.03	0.02	0.02	-0.04
AT2G22040	0.00	0.00	0.00	0.00	0.00
AT3G25577	0.01	0.00	0.01	0.01	0.01
AT1G75800	-0.06	0.05	-0.06	-0.08	-0.14
AT5G24610	0.12	0.09	-0.01	0.12	0.05
AT5G18362	0.46	0.24	-0.18	0.28	0.46
AT2G22990	0.07	-0.01	0.07	-0.19	-0.24
AT4G13080	0.01	0.00	0.00	0.00	0.00
AT4G15056	0.00	0.00	0.00	0.00	0.00
AT1G37020	0.01	0.00	0.00	0.00	0.00
AT2G27070	0.01	0.00	0.00	0.00	0.01
AT3G23960	0.00	0.00	0.00	0.00	0.00
AT5G38130	0.00	0.00	0.00	0.00	0.00
AT3G61290	0.00	0.00	0.00	0.00	0.00
AT2G06020	0.00	0.01	0.00	0.00	0.00
AT5G36470	0.00	0.00	0.00	0.00	0.00
AT1G16950	0.00	0.00	0.00	0.00	0.00
AT5G07790	0.26	0.30	0.15	0.08	0.25
AT5G34885	0.00	0.00	0.00	0.00	0.00
AT4G15060	0.00	0.00	0.00	0.00	0.00
AT1G78400	0.00	0.00	0.00	0.00	0.00
AT3G45460	0.00	0.00	0.00	0.00	0.00
AT4G09880	0.00	0.00	0.00	0.00	0.00
AT2G34270	0.01	0.00	0.00	0.00	0.00
AT5G54360	0.00	0.00	0.00	0.00	0.00
AT5G24440	0.00	0.00	0.00	0.00	0.00
AT2G29605	0.01	0.00	0.00	0.00	0.00
AT2G27780	0.01	0.00	0.00	0.00	0.00
AT1G22720	0.01	0.00	0.00	0.00	0.00
AT5G36330	0.00	0.00	0.00	0.00	0.00
AT1G10190	0.00	0.00	0.00	0.00	0.00
AT5G01440	0.00	0.00	0.00	0.00	0.00
AT1G15600	0.00	0.00	0.00	0.00	0.00
AT5G52090	0.00	0.00	0.00	0.00	0.00
AT5G16580	0.00	0.00	0.00	0.00	0.00
AT5G37150	0.00	0.00	0.00	0.00	0.00
AT1G43050	0.00	0.00	0.00	0.00	0.00
AT4G40085	0.01	0.00	0.00	0.00	0.00
AT1G36340	0.00	0.00	0.00	0.00	0.00
AT5G38190	0.00	0.00	0.00	0.00	0.00
AT3G44516	0.00	0.00	0.00	0.00	0.00
AT1G55070	0.00	0.00	0.00	0.00	0.00
AT5G20447	0.00	0.00	0.00	0.00	0.00
AT2G21720	0.00	0.00	0.00	0.00	0.00
AT1G32010	0.00	0.00	0.00	0.00	0.00
AT3G21330	1.21	2.68	0.15	1.21	0.32
AT1G57690	0.01	0.00	0.00	0.00	0.00
AT5G27043	0.01	0.00	0.00	0.00	0.00
AT2G39790	0.00	0.00	0.00	0.00	0.00
AT1G34825	0.00	0.00	0.00	0.00	0.00
AT5G27530	0.00	0.00	0.00	0.00	0.00
AT5G46810	0.00	0.00	0.00	0.00	0.00
AT5G31412	0.00	0.00	0.00	0.00	0.00
AT2G13590	0.00	0.00	0.00	0.00	0.00
AT5G22910	0.01	0.00	0.00	0.00	0.01
AT5G52690	0.87	0.20	0.08	0.87	0.53
AT3G10580	0.00	0.00	0.00	0.00	0.00
AT3G01270	0.00	0.00	0.00	0.00	0.00
AT1G25340	0.00	0.00	0.00	0.00	0.00
AT3G21380	0.00	0.00	0.00	0.00	0.00
AT3G62670	0.00	0.00	0.00	0.00	0.00
AT5G37860	0.01	0.01	0.00	0.00	0.00
AT5G51610	0.03	0.05	0.03	0.02	0.03
AT2G29800	0.00	0.00	0.00	0.00	0.00
AT1G68380	0.00	0.00	0.00	0.00	0.00
AT2G27700	0.00	0.00	0.00	0.00	0.00
AT1G20735	0.00	0.00	0.00	0.00	0.00
